time,data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12
1739574674.5094402,0,1,1,0,1,1,180,51,8,3,0,0
1739574675.510028,0,1,1,0,1,1,168,50,8,3,0,0
1739574676.5115645,0,1,1,0,1,1,168,50,8,3,0,0
1739574677.5131156,0,1,1,0,1,1,168,50,8,3,0,0
1739574678.5152566,0,1,1,0,1,1,171,53,9,3,0,0
1739574679.5175755,0,1,1,0,1,1,171,53,9,3,0,0
1739574680.5198963,0,1,1,0,1,1,171,53,9,3,0,0
1739574681.5217683,0,1,1,0,1,1,153,50,11,3,0,0
1739574682.523922,0,1,1,0,1,1,153,50,11,3,0,0
1739574683.5262053,0,1,1,0,1,1,153,50,11,3,0,0
1739574684.5284896,0,1,1,0,1,1,162,53,11,3,0,0
1739574685.5307784,0,1,1,0,1,1,162,53,11,3,0,0
1739574686.5331564,0,1,1,0,1,1,162,53,11,3,0,0
1739574687.5354047,0,1,1,0,1,1,153,50,11,2,0,0
1739574688.5377579,0,1,1,0,1,1,153,50,11,2,0,0
1739574689.5400245,0,1,1,0,1,1,153,50,11,2,0,0
1739574690.5418916,0,1,1,0,1,1,153,50,11,1,0,0
1739574691.5441198,0,1,1,0,1,1,153,50,11,1,0,0
1739574692.5463555,0,1,1,0,1,1,153,50,11,1,0,0
1739574693.5486462,0,1,1,0,1,1,156,48,10,1,0,0
1739574694.5508626,0,1,1,0,1,1,156,48,10,1,0,0
1739574695.5531545,0,1,1,0,1,1,156,48,10,1,0,0
1739574696.5554454,0,1,2,0,1,2,183,52,13,2,1,0
1739574697.5577943,0,1,2,0,1,2,183,52,13,2,1,0
1739574698.560053,0,1,2,0,1,2,183,52,13,2,1,0
1739574699.5620716,0,1,2,0,1,2,192,50,14,3,1,0
1739574700.564281,0,1,2,0,1,2,192,50,14,3,1,0
1739574701.566492,0,1,2,0,1,2,192,50,14,3,1,0
1739574702.5688074,0,1,2,0,1,2,183,47,12,3,1,0
1739574703.5710962,0,1,2,0,1,2,183,47,12,3,1,0
1739574704.5732446,0,1,2,0,1,2,183,47,12,3,1,0
1739574705.5754774,0,1,2,0,1,2,222,58,12,3,1,0
1739574706.5778258,0,1,2,0,1,2,222,58,12,3,1,0
1739574707.5800898,0,1,2,0,1,2,222,58,12,3,1,0
1739574708.5819373,0,2,2,0,2,2,261,69,15,4,1,0
1739574709.5841827,0,2,2,0,2,2,261,69,15,4,1,0
1739574710.5863886,0,2,2,0,2,2,261,69,15,4,1,0
1739574711.5879931,0,2,2,0,2,2,270,70,15,3,1,0
1739574712.589548,0,2,2,0,2,2,270,70,15,3,1,0
1739574713.5911627,0,2,2,0,2,2,270,70,15,3,1,0
1739574714.5927334,0,2,2,0,2,2,291,72,14,3,1,0
1739574715.5942822,0,2,2,0,2,2,291,72,14,3,1,0
1739574716.5964985,0,2,2,0,2,2,291,72,14,3,1,0
1739574717.5986416,1,2,2,1,2,2,315,79,14,3,1,0
1739574718.6009443,1,2,2,1,2,2,315,79,14,3,1,0
1739574719.6032743,1,2,2,1,2,2,315,79,14,3,1,0
1739574720.6056275,1,2,2,1,2,2,306,76,13,3,1,0
1739574721.607896,1,2,2,1,2,2,306,76,13,3,1,0
1739574722.6101606,1,2,2,1,2,2,306,76,13,3,1,0
1739574723.6123958,1,2,2,1,2,2,303,78,13,3,1,0
1739574724.614677,1,2,2,1,2,2,303,78,13,3,1,0
1739574725.6170344,1,2,2,1,2,2,303,78,13,3,1,0
1739574726.6190581,1,1,1,1,1,1,279,74,11,2,0,0
1739574727.6213477,1,1,1,1,1,1,279,74,11,2,0,0
1739574728.6236448,1,1,1,1,1,1,279,74,11,2,0,0
1739574729.6259775,1,1,1,1,1,1,261,73,10,1,0,0
1739574730.6282644,1,1,1,1,1,1,261,73,10,1,0,0
1739574731.6305544,1,1,1,1,1,1,261,73,10,1,0,0
1739574732.6327024,1,1,1,1,1,1,285,80,10,1,0,0
1739574733.6349332,1,1,1,1,1,1,285,80,10,1,0,0
1739574734.63722,1,1,1,1,1,1,285,80,10,1,0,0
1739574735.639496,1,1,1,1,1,1,267,75,14,1,0,0
1739574736.6418905,1,1,1,1,1,1,267,75,14,1,0,0
1739574737.6441433,1,1,1,1,1,1,267,75,14,1,0,0
1739574738.646482,0,1,1,0,1,1,228,63,10,0,0,0
1739574739.6487257,0,1,1,0,1,1,228,63,10,0,0,0
1739574740.6510086,0,1,1,0,1,1,228,63,10,0,0,0
1739574741.653329,0,1,1,0,1,1,213,59,7,0,0,0
1739574742.6556442,0,1,1,0,1,1,213,59,7,0,0,0
