time,data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16
1740179214.5549376,2.0,2.0,2.0,2.0,2.0,2.0,369.0,109.0,7.0,0.0,0.0,0.0,34.41515625,100.0,703.9709521027954,2968.190806379079
1740179215.5661516,2.0,2.0,2.0,2.0,2.0,2.0,369.0,109.0,7.0,0.0,0.0,0.0,23.6309765625,35.46853176666221,1009.8744134472239,28.142047214854
1740179216.5772376,2.0,2.0,2.0,2.0,2.0,2.0,405.0,117.0,8.0,0.0,0.0,0.0,23.6676953125,35.42084961161842,1009.8735531750799,28.14922894975461
1740179217.5882967,2.0,2.0,2.0,2.0,2.0,2.0,405.0,117.0,8.0,0.0,0.0,0.0,23.7091015625,35.356562523319205,1009.8701491443492,28.17764657115567
1740179218.601333,2.0,2.0,2.0,2.0,2.0,2.0,405.0,117.0,8.0,0.0,0.0,0.0,23.7477734375,35.27497407662749,1009.8673538608174,28.20098229072133
1740179219.6144714,2.0,2.0,2.0,2.0,2.0,2.0,393.0,113.0,8.0,0.0,0.0,0.0,23.7798046875,35.18710049027429,1009.8707415861089,28.17270072726165
1740179220.6276531,2.0,2.0,2.0,2.0,2.0,2.0,393.0,113.0,8.0,0.0,0.0,0.0,23.808125,35.1159544462834,1009.8713832394653,28.16734405596913
1740179221.64144,2.0,2.0,2.0,2.0,2.0,2.0,393.0,113.0,8.0,0.0,0.0,0.0,23.8309765625,35.02728020029083,1009.8715289033614,28.166128020307386
1740179222.6533916,2.0,2.0,2.0,2.0,2.0,2.0,381.0,111.0,8.0,0.0,0.0,0.0,23.8505078125,34.9383350428629,1009.8782253845009,28.11022441099972
1740179223.6673303,2.0,2.0,2.0,2.0,2.0,2.0,381.0,111.0,8.0,0.0,0.0,0.0,23.8665234375,34.88313121935873,1009.8721349654828,28.161068476037073
1740179224.6812944,2.0,2.0,2.0,2.0,2.0,2.0,381.0,111.0,8.0,0.0,0.0,0.0,23.8790234375,34.8106007373888,1009.8688138311409,28.188794090169285
1740179225.69246,2.0,2.0,2.0,2.0,2.0,2.0,387.0,111.0,7.0,0.0,0.0,0.0,23.889375,34.74923246478233,1009.8774602059523,28.116612264565266
1740179226.703565,2.0,2.0,2.0,2.0,2.0,2.0,387.0,111.0,7.0,0.0,0.0,0.0,23.89953125,34.704864933563464,1009.8788660557211,28.1048759709028
1740179227.7146645,2.0,2.0,2.0,2.0,2.0,2.0,387.0,111.0,7.0,0.0,0.0,0.0,23.9083203125,34.637724632905645,1009.8762595563742,28.12663551958834
1740179228.725777,1.0,2.0,2.0,1.0,2.0,2.0,387.0,109.0,2.0,0.0,0.0,0.0,23.916328125,34.57053854433993,1009.8688907231292,28.188152176852885
1740179229.735966,1.0,2.0,2.0,1.0,2.0,2.0,387.0,109.0,2.0,0.0,0.0,0.0,23.9227734375,34.542846745630804,1009.8692834872334,28.184873285669322
1740179230.748943,1.0,2.0,2.0,1.0,2.0,2.0,387.0,109.0,2.0,0.0,0.0,0.0,23.928046875,34.498073214041206,1009.8642617440147,28.2267961089131
1740179231.7619576,1.0,1.0,1.0,1.0,1.0,1.0,357.0,99.0,3.0,0.0,0.0,0.0,23.93390625,34.49296871056413,1009.8636755825544,28.23168954879452
1740179232.7748919,1.0,1.0,1.0,1.0,1.0,1.0,357.0,99.0,3.0,0.0,0.0,0.0,23.939375,34.47085465224622,1009.8607082603947,28.256461619745153
1740179233.787769,1.0,1.0,1.0,1.0,1.0,1.0,357.0,99.0,3.0,0.0,0.0,0.0,23.946796875,34.47155555765437,1009.8592738694173,28.268436355166944
1740179234.8015478,1.0,2.0,2.0,1.0,2.0,2.0,375.0,105.0,8.0,0.0,0.0,0.0,23.9534375,34.4778402780034,1009.8530771600743,28.320168541874814
1740179235.814888,1.0,2.0,2.0,1.0,2.0,2.0,375.0,105.0,8.0,0.0,0.0,0.0,23.9622265625,34.495644801019736,1009.8470105838269,28.3708145832965
1740179236.8277369,1.0,2.0,2.0,1.0,2.0,2.0,375.0,105.0,8.0,0.0,0.0,0.0,23.9801953125,34.50866084393755,1009.8493581650317,28.351216070504496
1740179237.841709,1.0,2.0,2.0,1.0,2.0,2.0,369.0,101.0,8.0,0.0,0.0,0.0,23.99796875,34.55562265957195,1009.8600222350808,28.26218876756611
1740179238.8547194,1.0,2.0,2.0,1.0,2.0,2.0,369.0,101.0,8.0,0.0,0.0,0.0,24.005,34.58459645651473,1009.8648486941091,28.22189608760204
1740179239.8676195,1.0,2.0,2.0,1.0,2.0,2.0,369.0,101.0,8.0,0.0,0.0,0.0,24.014765625,34.58552170598834,1009.853495175439,28.316678802759682
1740179240.8806298,1.0,1.0,1.0,1.0,1.0,1.0,375.0,95.0,8.0,0.0,0.0,0.0,24.026875,34.575344696246525,1009.852970077979,28.321062501013248
1740179241.8936217,1.0,1.0,1.0,1.0,1.0,1.0,375.0,95.0,8.0,0.0,0.0,0.0,24.039765625,34.559580427504144,1009.8589355762834,28.271260531913715
1740179242.905824,1.0,1.0,1.0,1.0,1.0,1.0,375.0,95.0,8.0,0.0,0.0,0.0,24.0485546875,34.549090019710675,1009.8580516534078,28.27863979980367
1740179243.918757,1.0,1.0,1.0,1.0,1.0,1.0,354.0,88.0,10.0,0.0,0.0,0.0,24.049921875,34.492617796209856,1009.8586056933136,28.27401449872862
1740179244.9316888,1.0,1.0,1.0,1.0,1.0,1.0,354.0,88.0,10.0,0.0,0.0,0.0,24.057734375,34.414148760845215,1009.8612775340263,28.25170915284357
1740179245.944779,1.0,1.0,1.0,1.0,1.0,1.0,354.0,88.0,10.0,0.0,0.0,0.0,24.0665234375,34.33581087499975,1009.8569349614237,28.287962305340795
1740179246.9578185,1.0,1.0,1.0,1.0,1.0,1.0,318.0,80.0,9.0,0.0,0.0,0.0,24.07375,34.2404144853859,1009.8465249241398,28.374869062173307
1740179247.9708712,1.0,1.0,1.0,1.0,1.0,1.0,318.0,80.0,9.0,0.0,0.0,0.0,24.0743359375,34.12187086336935,1009.838858326773,28.43887305403753
1740179248.9838557,0.0,0.0,0.0,0.0,0.0,0.0,318.0,80.0,9.0,0.0,0.0,0.0,24.0755078125,33.99783516307876,1009.8166091062283,28.6246211691205
1740179249.996928,0.0,0.0,0.0,0.0,0.0,0.0,348.0,90.0,10.0,0.0,0.0,0.0,24.0753125,33.879410820782105,1009.7955350495453,28.800561458297345
