time,PM10_Standard,PM25_Standard,PM100_Standard,PM10_Enviornment,PM25_Enviornment,PM100_Enviornment,Particles_03um,Particles_05um,Particles_10um,Particles_25um,Particles_50um,Particles_100um,Tempurature,Relative_Humidity,Pressure,Altitude,Gas
1741392792.45866,2.0,3.0,5.0,2.0,3.0,5.0,444.0,128.0,33.0,4.0,2.0,2.0,33.3919140625,100.0,766.5663078336963,2292.2296779401804,170785.0
1741392793.4698262,2.0,3.0,5.0,2.0,3.0,5.0,444.0,128.0,33.0,4.0,2.0,2.0,25.064765625,42.14622202774656,1009.386990328663,32.21195306604651,10734.0
1741392794.48112,2.0,3.0,4.0,2.0,3.0,4.0,450.0,130.0,31.0,1.0,1.0,1.0,25.09875,41.83145806835506,1009.3852560561319,32.22643680783012,15090.0
1741392795.4922023,2.0,3.0,4.0,2.0,3.0,4.0,450.0,130.0,31.0,1.0,1.0,1.0,25.1376171875,41.56668532304155,1009.3783187909371,32.28437343857992,20138.0
1741392796.506298,2.0,3.0,4.0,2.0,3.0,4.0,450.0,130.0,31.0,1.0,1.0,1.0,25.1719921875,41.25300676240354,1009.3753474926859,32.309188360445084,26364.0
1741392797.5184526,2.0,3.0,3.0,2.0,3.0,3.0,456.0,128.0,29.0,0.0,0.0,0.0,25.1993359375,40.92086025328331,1009.3723528331508,32.33419844489547,31869.0
1741392798.5296648,2.0,3.0,3.0,2.0,3.0,3.0,456.0,128.0,29.0,0.0,0.0,0.0,25.22140625,40.54626329776438,1009.370261581611,32.351663697190055,37221.0
1741392799.5408218,2.0,3.0,3.0,2.0,3.0,3.0,456.0,128.0,29.0,0.0,0.0,0.0,25.2376171875,40.12945405194351,1009.3681542454344,32.36926331123443,42864.0
1741392800.5519576,2.0,3.0,3.0,2.0,3.0,3.0,438.0,122.0,31.0,0.0,0.0,0.0,25.2473828125,39.65862700607379,1009.3577522980148,32.456136578292586,49937.0
1741392801.563127,2.0,3.0,3.0,2.0,3.0,3.0,438.0,122.0,31.0,0.0,0.0,0.0,25.255,39.12870916047434,1009.3678879883369,32.37148698426361,53678.0
1741392802.5743923,2.0,3.0,3.0,2.0,3.0,3.0,438.0,122.0,31.0,0.0,0.0,0.0,25.258125,38.72613336317931,1009.3562436728228,32.46873612528196,57421.0
1741392803.5854871,2.0,3.0,3.0,2.0,3.0,3.0,432.0,122.0,28.0,0.0,0.0,0.0,25.256171875,38.38395960164067,1009.3605318864052,32.43292239992093,62646.0
1741392804.5966172,2.0,3.0,3.0,2.0,3.0,3.0,432.0,122.0,28.0,0.0,0.0,0.0,25.25421875,37.99469201215929,1009.3593009943346,32.44320238613717,67234.0
1741392805.6077988,2.0,3.0,3.0,2.0,3.0,3.0,432.0,122.0,28.0,0.0,0.0,0.0,25.251875,37.56460656858688,1009.3592956558006,32.44324697175495,71085.0
1741392806.618931,2.0,3.0,3.0,2.0,3.0,3.0,456.0,128.0,31.0,0.0,0.0,0.0,25.2493359375,37.14162635699279,1009.3571435586704,32.46122056949783,74827.0
1741392807.630611,2.0,3.0,3.0,2.0,3.0,3.0,456.0,128.0,31.0,0.0,0.0,0.0,25.24484375,36.75517889545863,1009.3592794924485,32.443381962566356,78214.0
1741392808.6446683,2.0,3.0,3.0,2.0,3.0,3.0,456.0,128.0,31.0,0.0,0.0,0.0,25.23859375,36.387270984434615,1009.3531327955113,32.49471720904964,81392.0
1741392809.658066,2.0,3.0,3.0,2.0,3.0,3.0,438.0,122.0,30.0,0.0,0.0,0.0,25.2315625,36.04377990911854,1009.3494370344779,32.525583144779304,84434.0
1741392810.6708996,2.0,3.0,3.0,2.0,3.0,3.0,438.0,122.0,30.0,0.0,0.0,0.0,25.2227734375,35.736235624886554,1009.3540151233019,32.48734827404393,87104.0
